feature,coefficient
intercept,-0.5815980409494321
job_finance,-0.1060366771067431
job_marketing,-0.15921733488964712
job_product_design,-0.018043741572216037
job_software_engineering,-0.08747314786581867
rel_17:15,-0.07468775616196946
rel_17:30,0.07138560713431126
rel_17:45,-0.24578226317769702
fat_overwhelmed,-1.9161100356714067
fat_refreshed,0.5894111746859789
fat_tired,-0.6066428777182522
sunny,1.4684619923453908
job_finance_x_fat_overwhelmed,-0.3340328964278862
job_finance_x_fat_refreshed,-0.06819522697586887
job_finance_x_fat_tired,-0.16061165318778756
job_marketing_x_fat_overwhelmed,-0.36225556082632004
job_marketing_x_fat_refreshed,0.30603495453999824
job_marketing_x_fat_tired,-0.1863905971199351
job_product_design_x_fat_overwhelmed,-0.4127219047965387
job_product_design_x_fat_refreshed,0.006831468268125301
job_product_design_x_fat_tired,0.01824328006628374
job_software_engineering_x_fat_overwhelmed,-0.29618938500681447
job_software_engineering_x_fat_refreshed,0.2077599138903103
job_software_engineering_x_fat_tired,-0.17528218889667507
job_finance_x_sunny,0.12330967916254858
job_marketing_x_sunny,0.31061677256823533
job_product_design_x_sunny,0.38374206011462164
job_software_engineering_x_sunny,0.398883351422443
job_finance_x_rel_17:15,-0.048453643346432186
job_finance_x_rel_17:30,-0.019894673536051403
job_finance_x_rel_17:45,0.13443048600940743
job_marketing_x_rel_17:15,-0.25173804717193216
job_marketing_x_rel_17:30,0.14029965953507761
job_marketing_x_rel_17:45,-0.019642814753325067
job_product_design_x_rel_17:15,0.033530256261004046
job_product_design_x_rel_17:30,-0.008259341506481707
job_product_design_x_rel_17:45,-0.08945056633719645
job_software_engineering_x_rel_17:15,0.1630155440681757
job_software_engineering_x_rel_17:30,-0.21787461087833457
job_software_engineering_x_rel_17:45,-0.013464903622846565
D_x_slope_intercept,-0.1595518810859276
D_x_slope_job_finance,-0.028887673456657072
D_x_slope_job_marketing,-0.020250916941114493
D_x_slope_job_product_design,-0.024205126939438812
D_x_slope_job_software_engineering,-0.049133104997794344
D_x_slope_rel_17:15,-0.04964264471438958
D_x_slope_rel_17:30,-0.020007338199140055
D_x_slope_rel_17:45,-0.0023430205086029366
D_x_slope_fat_overwhelmed,0.009982782485557395
D_x_slope_fat_refreshed,-0.2714570561014002
D_x_slope_fat_tired,-0.7434551349847844
D_x_slope_sunny,0.13128739331274694
