parameter,subgroup,value,se
tau_p,overall,0.20781597719876266,
tau_y,overall,0.202,
ame,overall,-0.014764793120303214,
se_ame,overall,0.0017195969091576661,
ame_naive,overall,-0.016580751751250525,
avg_semi_elasticity,overall,-0.3615617816561892,
avg_elasticity,overall,-5.69650446130231,
avg_dstar,overall,-2.561807088015573,
median_dstar,overall,-1.1976864687648816,
dstar_trim_n_excluded,overall,0.0,
n_obs,overall,500.0,
tau_p,job:data_science,0.2405415165365954,0.03317731661527875
tau_y,job:data_science,0.23,0.042125397306095436
ame,job:data_science,-0.010406528286207983,0.002141905020588105
avg_elasticity,job:data_science,-6.406376039461918,0.9792274445814314
avg_dstar,job:data_science,-2.5169852886923074,1.6073467975428202
tau_p,job:finance,0.175301787210204,0.028583677409192584
tau_y,job:finance,0.17,0.037600899660920624
ame,job:finance,-0.016868784335824637,0.0032666552825908364
avg_elasticity,job:finance,-5.976506693264375,0.7432679696634273
avg_dstar,job:finance,-3.1332633090988717,0.8382860668902102
tau_p,job:marketing,0.18796078205977204,0.028195270702549853
tau_y,job:marketing,0.18,0.03845722189435507
ame,job:marketing,-0.019743970323933834,0.0034706829560291865
avg_elasticity,job:marketing,-5.106598276073054,0.7666454785529961
avg_dstar,job:marketing,-3.8209782293542633,1.130641216317667
tau_p,job:product_design,0.24090218808492772,0.034318093959927104
tau_y,job:product_design,0.24,0.04275108549056085
ame,job:product_design,-0.0114807747640908,0.00217637359393755
avg_elasticity,job:product_design,-5.69351057797013,0.8196943838097724
avg_dstar,job:product_design,-1.3480814882722114,1.1308247952365957
tau_p,job:software_engineering,0.19437361210231408,0.029714707467316956
tau_y,job:software_engineering,0.19,0.039269379525740826
ame,job:software_engineering,-0.024403701046195377,0.004688150406521483
avg_elasticity,job:software_engineering,-5.299530719742073,0.8404648459279572
avg_dstar,job:software_engineering,-1.989727124660212,0.7637597850617589
sunny_premium,overall,0.18949919920307595,
fatigue_contrast_tired,overall,-0.11054450442981686,
fatigue_contrast_mentally_worn_down,overall,0.0717732973837692,
fatigue_contrast_overwhelmed,overall,-0.16915309052867344,
release_contrast_17:15,overall,-0.010313064230094787,
release_contrast_17:30,overall,-0.021080449661584733,
release_contrast_17:45,overall,0.008974330288580246,
